Pope Number,Papal Name,Birthday,Birthday2,Conclave Start,Elected Date,Elected Date2,Age at Election,Installed Date,Age at Installation,End of Reign Date,End of Reign Age,Elected Length,Installed Length,Actual Name,Length,Century,Birth Place,Country,Latitude,Longitude
17,Urban I,unknown,unknown,,222,222 AD,,,,230,,8,,St. Urban , ( 222 Elected - 230 Died),3, Rome                            , Italy             ,41.8967068,12.4822025
18,Pontian,unknown,unknown,,21 Jul 230,22 Jul 230,,,,Oct 235,,5.1,,St. Pontian , (21 Jul 230 Elected - 28 Sep 235 Resigned),3, Rome                            , Italy             ,41.8967068,12.4822025
19,Anterus,unknown,unknown,,21 Nov 235,22 Nov 235,,,,3 Jan 236,,0.1,,St. Anterus , (21 Nov 235 Elected - 3 Jan 236 Died),3,Petilla Policastro, Greece            ,40.9971976,22.5703984
20,Fabian,unknown,unknown,,236,236 AD,,,,20 Jan 250,,14,,St. Fabian , ( 236 Elected - 20 Jan 250 Died),3, Rome                            , Italy             ,41.8967068,12.4822025
21,Cornelius,unknown,unknown,,6 Mar 251,6 Mar 251,,,,Jun 253,,2.2,,St. Cornelius , (6 Mar 251 Elected - Jun 253 Died),3, Rome                            , Italy             ,41.8967068,12.4822025
22,Lucius I,unknown,unknown,,Jun 253,Jun 253,,,,5 Mar 254,,0.7,,St. Lucius , (Jun 253 Elected - 5 Mar 254 Died),3, Rome                            , Italy             ,41.8967068,12.4822025
23,Stephen I,unknown,unknown,,12 Mar 254,12 Mar 254,,,,2 Aug 257,,3.3,,St. Stephen , (12 Mar 254 Elected - 2 Aug 257 Died),3, Rome                            , Italy             ,41.8967068,12.4822025
24,Sixtus II,unknown,unknown,,31 Aug 257,31 Aug 257,,,,6 Aug 258,,0.9,,St. Sixtus , (31 Aug 257 Elected - 6 Aug 258 Died),3, Greece                          , Greece            ,39.074208,21.824312
25,Dionysius,unknown,unknown,,22 Jul 259,22 Jul 259,,,,26 Dec 268,,9.4,,St. Dionysius , (22 Jul 259 Elected - 26 Dec 268 Died),3,Magna Graecia,Italy,40.464402,17.26715
26,Felix I,unknown,unknown,,5 Jan 269,5 Jan 269,,,,30 Dec 274,,5.9,,St. Felix , (5 Jan 269 Elected - 30 Dec 274 Died),3, Rome                            , Italy             ,41.8967068,12.4822025
27,Eutychian,unknown,unknown,,4 Jan 275,4 Jan 275,,,,7 Dec 283,,8.9,,St. Eutychian , (4 Jan 275 Elected - 7 Dec 283 Died),3," Luni, Liguria                   ", Italy             ,44.0600207,10.0059034
28,Gaius,unknown,unknown,,17 Dec 283,17 Dec 283,,,,22 Apr 296,,12.3,,St. Caius , (17 Dec 283 Elected - 22 Apr 296 Died),3, Salona                          , Croatia           ,43.5422549,16.4919632
29,Marcellinus,unknown,unknown,,30 Jun 296,30 Jun 296,,,,25 Oct 304,,8.3,,St. Marcellinus , (30 Jun 296 Elected - 25 Oct 304 Died),3, Rome                            , Italy             ,41.8967068,12.4822025
30,Marcellus I,6 Jan 255,6 Jan 255,,27 May 308,27 May 308,53.3,,,16 Jan 309,54,0.6,,St. Marcellus , (27 May 308 Elected - 16 Jan 309 Died),3, Greece                          , Greece            ,39.074208,21.824312
31,Eusebius,unknown,unknown,,18 Apr 310,18 Apr 310,,,,17 Aug 310,,0.3,,St. Eusebius , (18 Apr 310 Elected - 17 Aug 310 Died),4,Rome ,Italy,41.8967068,12.4822025
32,Miltiades,unknown,unknown,,2 Jul 311,2 Jul 311,,,,10 Jan 314,,2.5,,St. Miltiades , (2 Jul 311 Elected - 10 Jan 314 Died),4,Africa Proconsularis,Algeria,28.033886,1.659626
33,Sylvester I,unknown,unknown,,31 Jan 314,31 Jan 314,,,,31 Dec 335,,21.9,,St. Sylvester , (31 Jan 314 Elected - 31 Dec 335 Died),4,Sant'Angelo a Scala, Italy             ,40.9746293,14.7401411
34,Mark,unknown,unknown,,18 Jan 336,18 Jan 336,,,,7 Oct 336,,0.7,,St. Mark , (18 Jan 336 Elected - 7 Oct 336 Died),4,Rome,Italy,41.8967068,12.4822025
35,Julius I,unknown,unknown,,6 Feb 337,6 Feb 337,,,,12 Apr 352,,15.1,,St. Julius , (6 Feb 337 Elected - 12 Apr 352 Died),4, Rome                            , Italy             ,41.8967068,12.4822025
36,Liberius,unknown,unknown,,17 May 352,17 May 352,,22 May 352,,24 Sep 366,,14.3,14.3,Liberius , (17 May 352 Elected - 24 Sep 366 Died),4, Rome                            , Italy             ,41.8967068,12.4822025
37,Damasus I,305 AD,305 AD,,1 Oct 366,1 Oct 366,61.7,,,11 Dec 384,79.9,18.1,,St. Damasus , (1 Oct 366 Elected - 11 Dec 384 Died),4,Egitania ,Portugal,40.0014856,-7.1520926
38,Siricius,334 AD,334 AD,,22 Dec 384,22 Dec 384,50.9,,,26 Nov 399,65.9,14.9,,St. Siricius , (22 Dec 384 Elected - 26 Nov 399 Died),4,Rome, Italy             ,41.8967068,12.4822025
39,Anastasius I,unknown,unknown,,27 Nov 399,27 Nov 399,,,,19 Dec 401,,2,,St. Anastasius , (27 Nov 399 Elected - 19 Dec 401 Died),4, Rome                            , Italy             ,41.8967068,12.4822025
40,Innocent I,unknown,unknown,,22 Dec 401,22 Dec 401,,,,12 Mar 417,,15.2,,St. Innocent , (22 Dec 401 Elected - 12 Mar 417 Died),5,Albano, Italy             ,41.728754,12.6586229
41,Zosimus,unknown,unknown,,18 Mar 417,18 Mar 417,,,,26 Dec 418,,1.7,,St. Zosimus , (18 Mar 417 Elected - 26 Dec 418 Died),5,Mesoraca, Italy             ,39.0814588,16.7864779
42,Boniface I,unknown,unknown,,28 Dec 418,28 Dec 418,,29 Dec 418,,4 Sep 422,,3.6,3.6,St. Boniface , (28 Dec 418 Elected - 4 Sep 422 Died),5,Rome, Italy             ,41.8967068,12.4822025
43,Celestine I,unknown,unknown,,10 Sep 422,10 Sep 422,,,,27 Jul 432,,9.8,,St. Celestine , (10 Sep 422 Elected - 27 Jul 432 Died),5,Rome, Italy             ,41.8967068,12.4822025
44,Sixtus III,390 AD,390 AD,,31 Jul 432,31 Jul 432,42.5,,,19 Aug 440,50.6,8,,St. Sixtus , (31 Jul 432 Elected - 19 Aug 440 Died),5,Rome, Italy             ,41.8967068,12.4822025
45,Leo I,unknown,unknown,,29 Sep 440,29 Sep 440,,29 Sep 440,,10 Nov 461,,21.1,21.1,St. Leone (the Great) , (29 Sep 440 Elected - 10 Nov 461 Died),5,Tuscany, Italy             ,43.5671153,10.9807003
46,Hilarus,unknown,unknown,,19 Nov 461,19 Nov 461,,19 Nov 461,,29 Feb 468,,6.2,6.2,St. Ilaro , (19 Nov 461 Elected - 29 Feb 468 Died),5,Sardinia , Italy             ,40.1208752,9.0128926
47,Simplicius,unknown,unknown,,3 Mar 468,3 Mar 468,,3 Mar 468,,10 Mar 483,,15,15,St. Simplicio , (3 Mar 468 Elected - 10 Mar 483 Died),5,Tivoli, Italy             ,41.9597095,12.8021341
48,Felix III,unknown,unknown,,13 Mar 483,13 Mar 483,,13 Mar 483,,25 Feb 492,,8.9,8.9,St. Felice , (13 Mar 483 Elected - 25 Feb 492 Died),5,Rome, Italy             ,41.8967068,12.4822025
49,Gelasius I,unknown,unknown,,1 Mar 492,1 Mar 492,,1 Mar 492,,19 Nov 496,,4.7,4.7,St. Gelasius , (1 Mar 492 Elected - 19 Nov 496 Died),5,Mons  Ferratus,Algeria,28.033886,1.659626
50,Anastasius II,unknown,unknown,,24 Nov 496,24 Nov 496,,24 Nov 496,,19 Nov 498,,1.9,1.9,Anastasio , (24 Nov 496 Elected - 19 Nov 498 Died),5,Rome , Italy             ,41.8967068,12.4822025
51,Symmachus,unknown,unknown,,22 Nov 498,22 Nov 498,,22 Nov 498,,19 Jul 514,,15.6,15.6,St. Simmaco , (22 Nov 498 Elected - 19 Jul 514 Died),5,Sardinia , Italy             ,40.1208752,9.0128926
52,Hormisdas,unknown,unknown,,20 Jul 514,20 Jul 514,,20 Jul 514,,6 Aug 523,,9,9,St. Ormisda , (20 Jul 514 Elected - 6 Aug 523 Died),6,Frusino, Italy             ,41.6394526,13.3426709
53,John I,unknown,unknown,,13 Aug 523,13 Aug 523,,13 Aug 523,,18 May 526,,2.7,2.7,St. Giovanni , (13 Aug 523 Elected - 18 May 526 Died),6,Tuscania, Italy             ,42.418541,11.8704427
54,Felix IV,unknown,unknown,,12 Jul 526,12 Jul 526,,12 Jul 526,,22 Sep 530,,4.1,4.1,St. Felice , (12 Jul 526 Elected - 22 Sep 530 Died),6,Samnium, Italy             ,41.87194,12.56738
55,Boniface II,unknown,unknown,,22 Sep 530,22 Sep 530,,22 Sep 530,,17 Oct 532,,2,2,Bonifacio , (22 Sep 530 Elected - 17 Oct 532 Died),6," Frosinone, Lazio                ", Italy             ,41.6394526,13.3426709
56,John II,unknown,unknown,,31 Dec 532,31 Dec 532,,31 Dec 532,,8 May 535,,2.3,2.3,Giovanni , (31 Dec 532 Elected - 8 May 535 Died),6, Rome                            , Italy             ,41.8967068,12.4822025
57,Agapitus I,unknown,unknown,,13 May 535,13 May 535,,,,22 Apr 536,,0.9,,St. Agapetus , (13 May 535 Elected - 22 Apr 536 Died),6, Rome                            , Italy             ,41.8967068,12.4822025
58,Silverius,480 AD,480 AD,,May 536,May 536,56.3,8 Jun 536,56.4,Jun 537,57.4,1,0.9,St. Silverius , (May 536 Elected - 11 Mar 537 Resigned),6,Campania, Italy             ,41.1125078,14.8454619
59,Vigilius,500 AD,500 AD,,Mar 537,Mar 537,37.1,29 Mar 537,37.2,7 Jun 555,55.4,18.2,18.1,Vigilius , (Mar 537 Elected - 7 Jun 555 Died),6, Rome                            , Italy             ,41.8967068,12.4822025
60,Pelagius I,505 AD,505 AD,,556,556 AD,51,16 Apr 556,51.2,3 Mar 561,56.1,5.1,4.8,Pelagio , ( 556 Elected - 3 Mar 561 Died),6, Rome                            , Italy             ,41.8967068,12.4822025
61,John III,520 AD,520 AD,,561,561 AD,41,17 Jul 561,41.5,13 Jul 574,54.5,13.5,12.9,Giovanni Catelin , ( 561 Elected - 13 Jul 574 Died),6, Rome                            , Italy             ,41.8967068,12.4822025
62,Benedict I,525AD,525AD,,575,575 AD,50,2 Jun 575,50.4,30 Jul 579,54.5,4.5,4.1,Benedict , ( 575 Elected - 30 Jul 579 Died),6, Rome                            , Italy             ,41.8967068,12.4822025
63,Pelagius II,520,520 AD,,Aug 579,Aug 580,59.5,26 Nov 579,59.9,7 Feb 590,70,10.5,10.1,Pelagius , (Aug 579 Elected - 7 Feb 590 Died),6, Rome                            , Italy             ,41.8967068,12.4822025
64,Gregory I,unknown,unknown,,Sep 590,Sep 591,,3 Sep 590,,12 Mar 604,,13.5,13.5,St. Gregory (the Great) , (Sep 590 Elected - 12 Mar 604 Died),6,Rome, Italy             ,41.8967068,12.4822025
65,Sabinian,530,530 AD,,604,604 AD,74,13 Sep 604,74.6,22 Feb 606,76.1,2.1,1.4,Sabinianus , ( 604 Elected - 22 Feb 606 Died),7," Blera, Lazio                    ", Italy             ,42.2725426,12.0275778
66,Boniface III,540,540 AD,,607,607 AD,67,19 Feb 607,67.1,12 Nov 607,67.8,0.8,0.7,Bonifacio , ( 607 Elected - 12 Nov 607 Died),7, Naples                          , Italy             ,40.8517746,14.2681244
67,Boniface IV,550,550 AD,,608,608 AD,58,15 Sep 608,58.7,8 May 615,65.3,7.3,6.6,"St. Bonifacio , O.S.B. ", ( 608 Elected - 8 May 615 Died),7,Valeria, Italy             ,44.8294248,8.9417961
68,Adeodatus I,570,570 AD,,615,615 AD,45,13 Nov 615,45.8,8 Nov 618,48.8,3.8,2.9,St. Deusdedit , ( 615 Elected - 8 Nov 618 Died),7," Capua, Campania                 ", Italy             ,41.1005481,14.2165423
69,Boniface V,575,575 AD,,Nov 618,Nov 619,43.8,23 Dec 619,44.9,23 Oct 625,50.8,6.9,5.8,Bonifacio , (Nov 618 Elected - 23 Oct 625 Died),7,Napoli,Italy,40.8517746,14.2681244
70,Honorius I,585,585 AD,,Oct 625,Oct 626,40.7,27 Oct 625,40.8,12 Oct 638,53.7,13,12.9,Onorio , (Oct 625 Elected - 12 Oct 638 Died),7,Campania,Italy,41.1125078,14.8454619
71,Severinus,585,585 AD,,15 Oct 638,16 Oct 638,53.7,28 May 640,55.4,2 Aug 640,55.5,1.7,0.1,Severino , (15 Oct 638 Elected - 2 Aug 640 Died),7, Rome                            , Italy             ,41.8967068,12.4822025
72,John IV,587,587 AD,,Aug 640,Aug 641,53.5,24 Dec 640,53.9,12 Oct 642,55.7,2.1,1.8,Giovanni , (Aug 640 Elected - 12 Oct 642 Died),7,Zada ,Croatia,44.119371,15.2313648
73,Theodore I,610,610 AD,,12 Oct 642,13 Oct 642,32.7,24 Nov 642,32.8,14 May 649,39.3,6.5,6.4,Theodorus , (12 Oct 642 Elected - 14 May 649 Died),7,Jerusalem ,Israel,31.7768831,35.2224346
74,Martin I,590,590 AD,,649,649 AD,59,5 Jul 649,59.5,16 Sep 655,65.7,6.7,6.1,St. Martino , ( 649 Elected - 16 Sep 655 Died),7,Todi, Italy             ,42.7810961,12.4066357
75,Eugene I,615,615 AD,,,,,10 Aug 654,39.6,2 Jun 657,42.4,,2.8,St. Eugenio , (10 Aug 654 Ordained Bishop - 2 Jun 657 Died),7,Rome, Italy             ,41.8967068,12.4822025
76,Vitalian,600,600 AD,,May 657,May 658,57.3,30 Jul 657,57.5,27 Jan 672,72,14.7,14.4,St. Vitalian , (May 657 Elected - 27 Jan 672 Died),7," Segni, Lazio                    ", Italy             ,41.6912992,13.0224236
77,Adeodatus II,621,621 AD,,672,672 AD,51,11 Apr 672,51.2,16 Jun 676,55.4,4.4,4.1,"Adeodatus , O.S.B. ", ( 672 Elected - 16 Jun 676 Died),7, Rome                            , Italy             ,41.8967068,12.4822025
78,Donus,610,610 AD,,676,676 AD,66,2 Nov 676,66.8,11 Apr 678,68.2,2.2,1.4,Dono , ( 676 Elected - 11 Apr 678 Died),7,Rome, Italy             ,41.8967068,12.4822025
79,Agatho,577,577 AD,,,,,27 Jun 678,101.4,10 Jan 681,104,,2.5,St. Agatone , ( 678 Appointed - 10 Jan 681 Died),7," Palermo, Sicily                 ", Italy             ,38.1156864,13.3614635
80,Leo II,611,611 AD,,,,,17 Aug 682,71.6,3 Jul 683,72.5,,0.8,St. Leone , (Jan 681 Appointed - 3 Jul 683 Died),7,Sicilia           , Italy             ,37.3979297,14.6587821
81,Benedict II,635,635 AD,,,,,26 Jun 684,49.4,8 May 685,50.3,,0.8,St. Benedetto Savelli , (Jul 683 Appointed - 8 May 685 Died),7,Rome ,Italy,41.8967068,12.4822025
82,John V,635,635 AD,,,,,23 Jul 685,50.5,2 Aug 686,51.5,,1,Giovanni , ( 685 Appointed - 2 Aug 686 Died),7, Antioch                         ,Turkey,36.2042794,36.1618938
83,Conon,630,630 AD,,686,686 AD,56,23 Oct 686,56.8,21 Sep 687,57.7,1.7,0.9,Conone , ( 686 Elected - 21 Sep 687 Died),7,Tracia,Syria,34.802075,38.996815
84,Sergius I,650,650 AD,,687,687 AD,37,15 Dec 687,37.9,7 Sep 701,51.6,14.6,13.7,St. Sergio , ( 687 Elected - 7 Sep 701 Died),7," Palermo, Sicily                 ", Italy             ,38.1156864,13.3614635
85,John VI,650,650 AD,,,,,30 Oct 701,51.8,11 Jan 705,55,,3.1,Giovanni , (30 Oct 701 Ordained Bishop - 11 Jan 705 Died),8, Ephesus                         ,Turkey,37.9355433,27.3461091
86,John VII,655,655 AD,,,,,1 Mar 705,50.1,18 Oct 707,52.7,,2.6,Giovanni , (1 Mar 705 Ordained Bishop - 18 Oct 707 Died),8," Rossano, Calabria               ", Italy             ,39.5758997,16.6346518
87,Sisinius,650,650 AD,,Oct 707,Oct 707,57.7,15 Jan 708,58,4 Feb 708,58,0.3,0,Sisinnius , (Oct 707 Elected - 4 Feb 708 Died),8, Syria                           , Syria             ,34.802075,38.996815
88,Constantine,664,664 AD,,25 Mar 708,25 Mar 708,44.2,,,9 Apr 715,51.2,7,,Constantinus , (25 Mar 708 Elected - 9 Apr 715 Died),8, Syria                           , Syria             ,34.802075,38.996815
89,Gregory II,669,669 AD,,May 715,May 715,46.3,19 May 715,46.3,11 Feb 731,62.1,15.7,15.7,St. Gregorio , (May 715 Elected - 11 Feb 731 Died),8, Rome                            , Italy             ,41.8967068,12.4822025
90,Gregory III,669,669 AD,,Mar 731,Mar 731,62.1,18 Mar 731,62.2,28 Nov 741,72.9,10.7,10.6,St. Gregorio , (Mar 731 Elected - 28 Nov 741 Died),8, Syria                           , Syria             ,34.802075,38.996815
91,Zacharias,679,679 AD,,3 Dec 741,3 Dec 741,62.9,10 Dec 741,62.9,15 Mar 752,73.2,10.2,10.2,St. Zaccaria , (3 Dec 741 Elected - 15 Mar 752 Died),8, Santa Severina,Italy,39.146213,16.911262
92,Stephen II,714,714 AD,,29 May 752,29 May 752,38.4,,,26 Apr 757,43.3,4.9,,Stefano , (29 May 752 Elected - 26 Apr 757 Died),8, Rome                            , Italy             ,41.8967068,12.4822025
93,Paul,700,700 AD,,29 Apr 757,29 Apr 757,57.3,,,28 Jun 767,67.4,10.1,,St. Paolo , (29 Apr 757 Elected - 28 Jun 767 Died),8, Rome                            , Italy             ,41.8967068,12.4822025
94,Stephen III,720,720 AD,,1 Aug 768,1 Aug 768,48.5,7 Aug 768,48.5,24 Jan 772,52,3.4,3.4,Stefano , (1 Aug 768 Elected - 24 Jan 772 Died),8," Syracuse, Sicily                ", Italy             ,37.0754013,15.2867415
95,Hadrian I,unknown,unknown,,1 Feb 772,1 Feb 772,,9 Feb 772,,25 Dec 795,,23.8,23.8,Adriano , (1 Feb 772 Elected - 25 Dec 795 Died),8, Rome                            , Italy             ,41.8967068,12.4822025
96,Leo III,750,750 AD,,26 Dec 795,26 Dec 795,45.9,27 Dec 795,45.9,12 Jun 816,66.4,20.4,20.4,St. Leo , (26 Dec 795 Elected - 12 Jun 816 Died),8, Rome                            , Italy             ,41.8967068,12.4822025
97,Stephen IV,770,770 AD,,Jun 816,Jun 816,46.4,22 Jun 816,46.4,24 Jan 817,47,0.6,0.5,Stefano , (Jun 816 Elected - 24 Jan 817 Died),9, Rome                            , Italy             ,41.8967068,12.4822025
98,Paschal I,775,775 AD,,25 Jan 817,25 Jan 817,42,26 Jan 817,42,11 Feb 824,49.1,7,7,St. Pasquale , (25 Jan 817 Elected - 11 Feb 824 Died),9, Rome                            , Italy             ,41.8967068,12.4822025
99,Eugene II,780,780 AD,,8 May 824,8 May 824,44.3,6 Jun 824,44.4,27 Aug 827,47.6,3.3,3.2,Eugenio , (8 May 824 Elected - 27 Aug 827 Died),9, Rome                            , Italy             ,41.8967068,12.4822025
100,Valentine,780,780 AD,,31 Aug 827,31 Aug 827,47.6,,,10 Oct 827,47.7,0.1,,Valentino , (31 Aug 827 Elected - 10 Oct 827 Died),9, Rome                            , Italy             ,41.8967068,12.4822025
101,Gregory IV,790,790 AD,,20 Dec 827,20 Dec 827,37.9,29 Mar 828,38.2,25 Jan 844,54,16,15.8,"Gregorio , O.S.B. ", (20 Dec 827 Elected - 25 Jan 844 Died),9, Rome                            , Italy             ,41.8967068,12.4822025
102,Sergius II,790,790 AD,,25 Jan 844,25 Jan 844,54,,,27 Jan 847,57,3,,Sergius , (25 Jan 844 Elected - 27 Jan 847 Died),9, Rome                            , Italy             ,41.8967068,12.4822025
103,Leo IV,790,790 AD,,27 Jan 847,27 Jan 847,57,10 Apr 847,57.2,17 Jul 855,65.5,8.4,8.2,St. Leo , (27 Jan 847 Elected - 17 Jul 855 Died),9, Rome                            , Italy             ,41.8967068,12.4822025
104,Benedict III,810,810 AD,,26 Jul 855,26 Jul 855,45.5,29 Sep 855,45.7,7 Apr 858,48.2,2.6,2.5,Benedetto , (26 Jul 855 Elected - 7 Apr 858 Died),9, Rome                            , Italy             ,41.8967068,12.4822025
105,Nicholas I,800,800 AD,,Apr 858,Apr 858,58.2,24 Apr 858,58.3,13 Nov 867,67.8,9.6,9.5,St. Niccolò , (Apr 858 Elected - 13 Nov 867 Died),9, Rome                            , Italy             ,41.8967068,12.4822025
106,Hadrian II,792,792 AD,,13 Nov 867,13 Nov 867,75.8,14 Dec 867,75.9,14 Dec 872,80.9,5,5,Adriano , (13 Nov 867 Elected - 14 Dec 872 Died),9, Rome                            , Italy             ,41.8967068,12.4822025
107,John VIII,820,820 AD,,14 Dec 872,14 Dec 872,52.9,,,16 Dec 882,62.9,10,,Giovanni , (14 Dec 872 Elected - 16 Dec 882 Died),9, Rome                            , Italy             ,41.8967068,12.4822025
108,Marinus I,830,830 AD,,16 Dec 882,16 Dec 882,52.9,,,15 May 884,54.3,1.4,,Marino , (16 Dec 882 Elected - 15 May 884 Died),9," Gallese, Lazio                  ", Italy             ,42.3719494,12.4024138
109,Hadrian III,830,830 AD,,17 May 884,17 May 884,54.3,,,15 Sep 885,55.7,1.3,,St. Adriano , (17 May 884 Elected - 15 Sep 885 Died),9, Rome                            , Italy             ,41.8967068,12.4822025
110,Stephen V,840,840 AD,,14 Sep 885,14 Sep 885,45.7,,,4 Sep 891,51.6,5.9,,Stefano , (14 Sep 885 Elected - 4 Sep 891 Died),9, Rome                            , Italy             ,41.8967068,12.4822025
111,Formosus,816,816 AD,,6 Oct 891,6 Oct 891,75.7,,,4 Apr 896,80.2,4.4,,Formosus , (6 Oct 891 Elected - 4 Apr 896 Died),9," Ostia, Lazio                    ", Italy             ,41.7311182,12.2862694
112,Boniface VI,806,806 AD,,11 Apr 896,11 Apr 896,90.2,,,26 Apr 896,90.3,0,,Bonifacio , (11 Apr 896 Elected - 26 Apr 896 Died),9, Rome                            , Italy             ,41.8967068,12.4822025
113,Stephen VI,850,850 AD,,22 May 896,22 May 896,46.3,,,14 Aug 897,47.6,1.2,,Stefano , (22 May 896 Elected - 14 Aug 897 Died),9, Rome                            , Italy             ,41.8967068,12.4822025
114,Romanus,850,850 AD,,14 Aug 897,14 Aug 897,47.6,,,Nov 897,47.8,0.2,,Romano , (14 Aug 897 Elected - Nov 897 Died),9," Gallese, Lazio                  ", Italy             ,42.3719494,12.4024138
115,Theodore II,840,840 AD,,Dec 897,Dec 897,57.9,,,20 Dec 897,57.9,0,,Teodoro , (Dec 897 Elected - 20 Dec 897 Died),9, Rome                            , Italy             ,41.8967068,12.4822025
116,John IX,840,840 AD,,18 Jan 898,18 Jan 898,58,,,5 Jan 900,60,1.9,,"Giovanni , O.S.B. ", (18 Jan 898 Elected - 5 Jan 900 Died),9," Tivoli, Lazio                   ", Italy             ,41.9597095,12.8021341
117,Benedict IV,840,840 AD,,1 Feb 900,1 Feb 900,60,,,30 Jul 903,63.5,3.4,,Benedict , (1 Feb 900 Elected - 30 Jul 903 Died),10, Rome                            , Italy             ,41.8967068,12.4822025
118,Leo V,845,845 AD,,30 Jul 903,30 Jul 903,58.5,,,Dec 903,58.9,0.3,,Leo , (30 Jul 903 Elected - Dec 903 Died),10," Ardea, Lazio                    ", Italy             ,41.6069072,12.5107894
119,Sergius III,860,860 AD,,29 Jan 904,29 Jan 904,44,,,14 Apr 911,51.2,7.2,,Sergius , (29 Jan 904 Elected - 14 Apr 911 Died),10, Rome                            , Italy             ,41.8967068,12.4822025
120,Anastasius III,865,865 AD,,14 Apr 911,14 Apr 911,46.2,,,Jun 913,48.4,2.1,,Anastasio , (14 Apr 911 Elected - Jun 913 Died),10, Rome                            , Italy             ,41.8967068,12.4822025
121,Lando,865,865 AD,,7 Jul 913,7 Jul 913,48.5,,,5 Feb 914,49,0.5,,Lando , (7 Jul 913 Elected - 5 Feb 914 Died),10," Sabina, Lazio                   ", Italy             ,41.6186379,13.824162
122,John X,860,860 AD,,Mar 914,Mar 914,54.1,15 May 914,54.3,2 Jul 929,69.5,15.3,15.1,Giovanni , (Mar 914 Elected - 2 Jul 929 Died),10,Borgo Tossignano, Italy             ,44.2786963,11.589443
123,Leo VI,unknown,unknown,,Jun 928,Jun 928,,,,Dec 928,,0.5,,Leone , (Jun 928 Elected - Dec 928 Died),10, Rome                            , Italy             ,41.8967068,12.4822025
124,Stephen VII,unknown,unknown,,Jan 929,Jan 929,,,,Feb 931,,2,,Stefano , (Jan 929 Elected - Feb 931 Died),10, Rome                            , Italy             ,41.8967068,12.4822025
125,John XI,901,901 AD,,Mar 931,Mar 931,30.1,,,Jan 936,35,4.8,,Giovanni , (Mar 931 Elected - Jan 936 Died),10, Rome                            , Italy             ,41.8967068,12.4822025
126,Leo VII,unknown,unknown,,3 Jan 936,3 Jan 936,,,,13 Jul 939,,3.5,,Leone , (3 Jan 936 Elected - 13 Jul 939 Died),10, Rome                            , Italy             ,41.8967068,12.4822025
